MANDT|WERKS|MATNR|MEINS|MENGE|NETWR|WAERS|BUDAT|BWART|LGORT|KOSTL
100|PL01|DIESEL-001|L|1500.00|82500.00|INR|20240103|101|0001|COST001
100|PL01|DIESEL-001|GAL|200.00|44000.00|INR|20240108|101|0001|COST001
100|PL02|PETROL-002|L|800.00|56000.00|INR|20240110|101|0002|COST002
100|PL03|HFO-003|KG|2200.00|198000.00|INR|20240115|101|0003|COST003
100|PL01|DIESEL-001|LTR|300.00|16500.00|INR|20240118|101|0001|COST001
100|PL02|CNG-004||450.00|27000.00|INR|20240120|101|0002|COST002
100|PL04|DIESEL-001|L|1100.00|60500.00|USD|20240122|101|0004|COST004
100|PL01|LPG-005|KG|95.00|14250.00|INR|20240125|101|0001|COST001
100|PL03|PETROL-002|L||41000.00|INR|20240128|101|0003|COST003
100|PL05|DIESEL-001|L|750.00|41250.00|INR|20240201|101|0001|COST001
